Objectives - Contribution,Objectives - Timeliness,Objectives - Usefulness,Objectives - Clarity,OrgPrep - Planning,OrgPrep - GroupPrep,OrgPrep - Time,OrgPrep - Venue,OrgPrep - Zest,Involvement - Enthusiasm,Involvement - Level,department_name
3,1,2,3,3,4,3,4,3,3,3,SAS
3,3,3,2,3,4,4,3,3,3,3,SAB
3,3,3,2,4,3,3,2,3,5,3,SAS
3,3,3,3,2,2,3,4,3,4,3,SHS
3,4,4,3,3,5,3,4,3,4,3,SAB
3,3,3,3,3,3,3,3,3,3,3,SAB
4,3,3,5,4,5,3,3,3,3,3,SAS
3,1,3,3,3,3,3,3,3,4,3,SAB
1,3,2,4,3,3,3,3,3,3,3,SAB
3,3,3,3,3,5,3,3,3,3,3,SED
3,4,2,3,4,3,4,4,3,3,2,SIT
3,3,4,3,3,3,3,3,3,1,3,BE
3,3,4,3,5,3,3,3,3,3,5,SIT
3,1,3,3,5,3,3,3,5,3,5,SAB
3,3,3,1,4,3,3,3,3,3,3,BE
3,1,2,3,3,3,4,4,2,3,3,SHS
3,3,3,3,3,1,2,3,3,3,2,SAS
3,3,2,4,3,3,4,3,3,4,3,SIT
3,4,3,3,3,3,1,3,3,3,4,SED
3,3,3,3,3,5,3,3,3,3,3,SHS
3,4,5,3,5,5,3,3,3,4,3,SAB
3,1,3,3,3,2,4,3,3,3,3,SAB
3,3,3,3,4,3,1,3,3,2,3,SED
4,3,3,3,4,4,1,2,3,3,4,SED
3,3,3,3,3,3,3,3,4,3,3,SED
3,3,3,3,3,2,3,4,1,4,3,SAS
3,1,3,3,3,4,3,4,3,5,4,SAS
3,3,4,3,3,3,3,4,3,3,3,SHS
4,3,3,5,5,4,3,2,3,3,3,SAS
3,3,3,3,3,3,3,3,3,3,3,SHS
3,3,3,3,3,3,3,3,4,3,5,BE
3,3,3,3,3,3,1,4,4,4,5,SIT
3,4,3,3,3,3,4,3,3,4,4,SAS
3,3,3,3,2,3,3,3,3,4,4,SHS
2,3,3,4,3,3,4,2,3,3,3,SHS
3,4,3,3,4,3,3,4,3,3,3,SAS
3,3,3,3,3,5,4,3,3,3,3,SIT
3,3,3,3,4,3,3,5,5,4,3,SHS
3,3,3,3,3,3,3,1,3,4,3,SED
4,2,3,3,3,3,3,3,3,3,3,SHS
5,2,3,3,3,3,2,3,3,3,4,BE
3,3,3,3,4,3,2,3,3,3,4,SAS
3,3,3,2,3,3,3,3,3,1,3,SED
3,4,3,3,4,3,2,3,3,5,3,SAS
3,3,3,3,3,3,1,3,2,4,3,SAS
3,3,3,3,3,3,3,3,3,3,3,SAB
3,4,3,3,4,3,3,3,3,3,3,SAS
3,3,3,3,3,5,3,3,3,2,3,SHS
3,4,3,3,3,3,3,3,3,3,3,SHS
4,3,3,3,3,3,3,3,3,3,3,BE
3,3,4,1,3,1,4,3,3,4,4,BE
3,2,3,3,2,2,4,3,4,2,3,SIT
3,4,3,3,3,3,3,3,3,3,3,SIT
3,3,3,3,3,2,4,4,3,4,3,SED
3,3,3,3,4,3,3,3,3,4,3,SAS
3,3,3,4,3,4,4,3,3,3,3,SAS
4,3,3,3,3,4,4,1,1,1,3,SAS
3,3,3,3,4,4,4,3,3,4,3,BE
2,3,3,3,4,3,4,3,3,3,3,SHS
3,5,3,3,3,3,3,3,5,3,3,SED
3,4,3,3,3,3,3,3,3,4,3,SED
3,4,3,2,3,3,3,3,4,3,3,SAS
3,3,3,4,3,4,3,3,2,3,3,SHS
3,3,3,3,4,5,3,3,3,3,3,BE
3,5,3,3,4,3,4,3,4,3,3,SHS
3,4,3,3,3,3,3,3,2,3,3,BE
3,3,3,5,3,4,4,3,5,4,3,SAS
3,4,3,3,4,4,5,2,3,4,4,SAB
3,3,3,5,3,3,3,3,3,3,4,SED
3,3,3,3,3,4,5,3,3,4,3,SED
3,3,3,3,2,3,3,3,2,4,3,SAS
3,3,3,3,3,3,3,3,3,3,3,SIT
3,3,3,4,3,3,4,2,3,3,5,SED
3,2,3,3,3,3,4,3,3,3,3,SHS
4,3,3,3,3,3,5,3,3,3,3,SAB
5,3,3,3,3,3,4,3,3,4,3,SAB
3,4,3,3,3,4,1,3,2,3,3,BE
3,1,3,3,3,5,2,3,3,3,4,BE
1,4,2,3,3,3,3,3,3,3,3,SHS
3,4,3,3,3,3,3,3,3,2,3,SHS
4,3,3,3,3,3,3,3,3,4,2,BE
3,2,3,3,3,3,3,3,3,4,4,SAB
4,3,3,3,3,3,4,3,4,4,3,SHS
5,5,3,3,4,3,3,3,3,1,5,SAB
3,2,3,2,3,3,2,3,3,3,2,SIT
3,3,3,3,3,3,3,3,3,3,4,SIT
2,3,3,3,2,3,3,4,3,5,4,SHS
3,3,3,2,3,3,3,3,3,3,2,SAS
3,3,3,5,3,3,3,3,3,3,1,SIT
4,3,3,2,4,3,3,3,3,3,3,SED
3,3,3,3,3,3,3,1,4,3,4,SAS
3,4,3,4,4,3,3,3,3,3,3,SIT
4,3,3,3,3,3,3,4,3,3,3,SAS
3,3,3,3,4,4,3,3,3,4,3,SIT
4,3,3,3,3,3,3,3,3,4,3,SED
3,3,2,4,3,3,4,3,3,4,3,SED
3,3,4,3,1,3,4,3,3,3,3,BE
3,3,3,3,3,3,3,3,3,2,3,BE
3,4,5,3,3,3,3,2,3,3,4,SAS
4,4,3,3,1,3,3,3,3,3,3,SED
3,3,3,3,4,4,3,3,3,2,4,SAB
3,4,3,3,4,3,5,4,3,4,3,SAS
3,5,3,3,3,3,3,3,3,3,2,BE
3,5,3,3,3,3,3,4,4,3,4,SED
5,3,3,3,3,3,4,4,2,3,4,SAB
4,4,3,3,3,3,3,4,3,3,3,BE
3,4,3,3,2,3,3,3,4,4,3,SAB
3,4,2,3,4,3,3,3,3,4,3,SIT
3,3,3,3,5,3,3,4,3,3,3,BE
3,3,3,3,3,3,3,3,3,3,3,SED
2,3,3,3,4,3,3,3,3,5,4,SAB
3,3,3,3,3,4,4,3,3,3,3,SAB
3,4,3,3,4,3,5,3,3,3,2,BE
4,3,3,3,3,3,2,4,4,3,3,BE
3,4,3,3,3,3,2,3,2,4,4,SHS
4,3,3,3,1,5,4,3,3,3,3,SHS
3,3,3,3,5,3,4,3,3,3,3,SIT
4,3,3,3,4,3,3,4,3,4,3,SHS
3,3,3,3,4,3,3,3,2,4,2,SHS
3,3,3,3,4,2,3,3,3,3,3,SED
3,3,3,3,4,3,3,3,3,3,3,SED
2,3,3,3,4,3,3,3,2,3,3,SIT
3,3,3,3,4,2,3,3,3,3,3,BE
3,2,3,3,3,3,3,4,3,3,3,SAS
3,3,1,3,3,3,3,3,3,4,3,SED
3,3,3,3,3,3,4,2,3,3,4,SED
3,3,3,3,3,3,3,3,3,3,3,SAB
2,3,3,3,5,3,3,3,3,3,4,SHS
3,3,3,3,3,3,3,3,5,5,3,SHS
2,4,3,3,3,3,3,3,3,3,3,SIT
3,4,3,3,3,2,4,3,3,5,4,SAB
3,3,3,3,3,3,3,3,3,3,3,SAS
3,3,2,5,4,4,4,3,2,3,3,BE
3,5,3,3,4,3,3,2,3,5,2,SHS
3,4,3,3,4,3,4,3,3,1,3,SHS
2,4,3,3,4,3,3,3,3,3,3,SIT
2,3,3,3,4,3,3,3,2,2,3,SAB
2,4,3,3,3,4,3,3,3,3,3,SED
3,3,3,3,3,3,4,3,3,3,3,BE
3,4,5,3,4,2,3,3,3,3,3,BE
3,3,3,3,4,3,4,3,4,3,4,SHS
4,4,3,3,3,3,2,3,3,1,3,SED
1,4,1,3,3,3,3,3,3,4,3,SHS
3,1,3,3,5,1,3,4,4,3,3,SAB
3,3,4,3,2,2,4,4,4,1,3,BE
3,3,3,2,4,3,3,3,3,3,3,SHS
4,3,3,3,3,3,3,3,2,3,3,SED
4,3,3,3,1,4,4,2,3,3,3,SED
3,3,3,3,3,3,3,3,2,3,3,SED
2,3,4,5,3,3,5,3,3,3,1,BE
3,4,2,3,3,2,3,4,3,5,4,SHS
5,3,3,3,4,3,3,3,3,3,3,SAB
3,4,3,3,3,4,3,3,3,3,3,SED
4,3,3,3,3,3,4,2,3,3,1,SIT
4,2,3,3,5,3,3,3,3,3,3,BE
2,3,3,4,3,4,2,3,3,3,3,SED
3,3,3,3,3,3,2,4,5,3,3,SED
3,4,2,4,4,4,3,3,3,4,3,SIT
4,4,3,3,4,1,3,2,3,4,2,SIT
4,3,3,3,3,3,4,3,3,3,3,SED
2,3,3,3,4,4,3,3,3,3,3,SIT
4,3,3,3,3,4,2,4,3,3,3,SAB
3,4,3,3,4,4,3,4,3,2,3,BE
4,3,3,4,3,3,3,2,3,3,3,SIT
2,3,3,3,4,2,3,3,2,3,3,SAB
3,3,1,3,1,3,3,3,3,3,4,SHS
3,2,2,3,2,3,4,4,3,3,3,SIT
3,3,3,4,3,3,3,3,2,3,5,SAS
3,3,3,3,4,3,3,3,3,5,3,BE
4,3,3,3,4,3,3,3,3,4,3,SHS
3,4,2,3,5,3,3,3,3,1,3,SHS
3,3,3,2,3,4,3,3,3,4,3,SAS
3,3,3,1,4,4,3,3,3,3,3,SED
3,4,3,3,3,4,3,3,3,3,3,SIT
3,4,3,3,1,3,3,4,3,3,4,SIT
5,4,3,3,4,3,1,3,4,3,3,SED
1,3,3,3,2,3,3,3,2,3,3,SAB
3,4,3,3,3,4,2,3,3,3,3,SAB
4,3,3,3,3,4,3,4,2,4,3,SHS
3,3,3,3,3,3,3,4,1,3,4,SAS
3,2,3,3,4,3,3,4,2,3,3,SAS
3,3,3,3,3,3,2,4,3,3,3,SAB
3,3,3,3,5,3,3,3,4,4,4,SAS
3,2,3,3,2,3,3,3,3,3,3,SAS
3,3,3,3,3,3,2,3,3,3,3,SAS
3,3,3,5,4,3,3,4,3,4,1,SAB
4,3,3,3,3,3,2,3,4,3,2,SAS
4,3,3,3,3,3,3,3,3,5,3,SIT
3,3,3,3,2,3,2,4,3,3,3,SHS
3,3,4,3,4,3,3,3,3,3,4,BE
3,3,3,3,3,3,3,3,3,3,3,BE
4,3,3,3,3,3,4,3,4,4,3,SAB
3,4,3,3,3,3,3,3,3,3,2,BE
3,3,3,5,4,3,4,3,3,3,3,SIT
3,3,3,3,4,2,3,3,3,3,5,SED
3,5,3,3,3,3,4,4,5,3,4,SAB
2,2,3,3,3,3,3,3,3,3,3,SAS
3,3,3,3,3,3,3,3,3,4,3,SAB
4,3,4,3,3,3,3,3,3,4,3,SIT
2,3,2,3,3,3,4,3,3,3,3,SIT
3,3,3,3,3,3,2,3,3,3,3,SHS
3,3,3,3,3,5,4,3,3,5,5,SIT
3,3,3,3,1,4,5,3,3,3,3,SIT
3,3,2,3,4,3,3,3,2,3,3,SAB
4,3,3,3,2,3,3,3,3,1,3,SIT
3,4,3,4,2,3,2,3,4,3,2,SHS
3,3,3,3,3,3,4,4,3,3,3,SIT
1,3,3,3,2,2,3,3,3,3,1,BE
5,3,3,3,1,3,2,3,3,3,4,SIT
3,4,3,3,3,3,3,3,3,4,3,SED
3,3,3,3,3,3,2,4,3,4,4,SHS
3,3,3,3,3,3,4,3,3,2,3,BE
3,4,2,3,4,3,3,3,3,1,3,BE
3,3,3,3,4,3,3,3,3,5,3,SED
3,4,3,3,3,3,3,3,3,4,3,SAS
3,3,3,2,2,5,3,4,3,4,3,SAS
3,4,3,4,3,3,3,2,3,4,2,SIT
3,3,3,3,4,3,3,5,3,4,5,BE
3,5,3,3,4,3,2,3,3,5,1,SAS
3,3,3,3,3,3,3,3,3,3,3,SHS
3,4,3,3,3,4,2,3,3,1,3,SHS
2,3,3,3,4,5,4,3,5,3,3,SIT
3,4,3,3,5,3,5,3,5,3,3,SHS
3,3,3,3,3,3,3,4,3,4,3,SAS
2,3,3,3,3,3,3,3,3,3,2,SAS
3,3,3,3,2,3,3,4,3,3,2,BE
2,3,3,3,4,4,3,3,3,4,3,SAS
3,3,4,3,1,3,5,3,4,3,3,SIT
3,3,3,3,5,3,3,3,3,4,3,BE
5,3,3,3,4,3,2,3,3,3,3,SAS
3,3,3,3,4,3,5,3,3,3,3,SED
3,3,3,3,4,3,3,1,3,4,3,SAS
3,3,3,3,4,3,4,3,3,4,3,BE
3,3,3,2,3,5,3,3,3,4,3,BE
3,2,3,3,1,3,4,3,4,3,3,SHS
3,3,3,3,3,1,3,3,3,3,3,SAB
4,3,3,3,4,4,2,3,4,1,3,SAB
3,4,3,3,3,4,4,3,3,3,3,SHS
3,4,3,3,4,5,4,4,3,3,3,SAB
2,4,3,2,3,3,3,3,3,4,3,SED
3,3,3,3,4,3,4,3,3,3,3,SHS
3,2,3,2,2,3,4,2,3,3,3,SHS
3,3,3,3,2,3,3,3,3,4,5,SED
3,5,3,3,3,5,3,3,3,3,3,SHS
3,3,3,3,3,3,3,3,3,3,4,SAS
3,4,3,3,1,3,3,3,3,3,3,SAS
3,4,3,3,4,4,4,3,3,3,3,SED
3,4,3,2,2,3,3,3,3,3,3,SAB
3,3,3,3,3,2,3,4,3,4,2,SHS
3,3,3,3,3,3,3,3,3,4,3,SAB
3,3,3,4,4,3,3,3,3,3,3,SAS
3,4,2,3,4,3,1,3,3,4,3,SAS
3,1,3,3,3,3,3,4,3,3,3,SHS
3,3,3,3,2,3,3,2,3,3,3,SAB
3,4,3,3,3,3,3,3,3,3,3,SIT
3,3,3,3,3,2,4,1,3,2,3,SHS
3,3,3,3,4,3,4,3,3,3,3,SIT
3,3,3,4,2,4,5,3,3,3,3,SAB
3,3,3,3,3,2,3,3,3,3,3,SAS
3,3,3,3,3,3,1,3,3,4,3,SHS
3,4,3,3,3,3,3,2,3,4,3,SIT
3,3,3,3,4,3,3,4,3,4,5,SED
4,3,3,3,4,3,4,3,2,3,3,SED
3,4,3,3,3,2,4,3,3,3,3,SAS
4,3,3,3,3,4,3,5,3,3,2,SIT
3,3,2,2,4,3,4,3,3,4,4,SED
3,3,3,3,4,3,3,3,3,3,4,BE
2,3,1,3,5,3,4,3,3,3,3,BE
3,3,3,4,4,3,3,5,3,3,4,SED
3,2,5,3,4,4,3,3,3,3,3,SED
3,3,3,2,4,3,3,3,3,1,3,SED
3,3,3,3,4,3,3,3,3,3,5,SAS
3,3,3,4,5,3,3,3,3,3,3,SED
3,3,3,3,4,3,3,3,3,2,3,SHS
5,3,4,3,4,3,3,3,3,2,3,SED
3,2,3,3,4,3,3,3,4,3,5,SIT
3,3,3,5,1,3,3,3,3,3,3,SAB
3,3,3,3,3,3,5,2,3,3,3,BE
3,3,3,3,3,3,2,3,3,5,3,SAS
4,3,4,3,3,4,3,4,3,3,2,SIT
3,3,3,3,3,3,3,4,3,4,3,BE
2,4,5,3,3,5,3,1,4,3,4,SED
3,3,3,3,5,4,3,3,3,3,3,SIT
3,2,3,3,3,3,3,3,3,4,3,SHS
3,3,3,3,3,4,3,3,3,3,3,SAB
3,4,3,5,3,3,3,4,3,3,3,SAB
3,5,2,3,3,3,3,3,4,4,3,SHS
1,3,3,3,3,3,3,3,3,3,3,SAB
3,4,3,3,2,3,3,3,4,2,2,SAS
3,3,2,3,5,3,3,3,3,3,3,SAS
3,2,3,3,2,3,3,3,3,3,3,SAS
3,3,3,3,4,4,3,3,3,3,3,SED
4,5,3,4,3,3,2,4,2,4,3,SED
4,3,3,3,4,3,3,3,3,3,3,SAS
3,4,3,2,4,3,3,3,3,3,3,BE
3,3,3,3,4,3,3,3,3,2,3,SAS
3,4,3,3,4,3,3,3,3,4,3,SIT
3,3,3,3,3,3,4,3,3,3,3,SAB
3,4,3,3,3,3,3,3,4,3,1,BE
3,3,3,5,3,4,4,3,3,2,3,SIT
3,3,3,3,3,3,4,3,3,3,3,SIT
4,3,3,3,4,3,2,3,3,4,3,SIT
3,4,3,3,4,3,3,3,3,5,2,SHS
3,4,4,4,2,3,4,3,3,3,3,SIT
3,2,3,4,3,3,4,3,3,3,3,SED
2,3,3,3,2,3,3,3,3,3,3,SAS
3,3,1,3,3,3,4,3,3,3,3,SAS
3,3,3,3,3,3,4,4,4,3,3,SIT
4,2,3,3,3,3,3,4,3,3,3,SIT
3,3,3,3,3,3,3,3,3,3,3,BE
3,4,2,3,2,3,3,3,3,3,4,SAS
3,3,3,4,4,3,5,3,3,4,3,SIT
3,3,3,2,2,3,3,3,3,4,3,BE
3,3,3,2,4,3,3,3,3,3,3,SAS
3,3,3,3,4,4,3,3,3,3,2,SED
4,3,3,3,3,3,3,4,3,3,3,SHS
2,3,3,3,3,1,3,5,3,3,4,SHS
3,3,4,3,3,3,3,3,3,2,3,SAS
4,4,3,3,4,3,3,5,3,3,3,BE
3,4,3,3,3,3,3,3,3,4,3,SAB
2,3,3,3,5,3,3,3,3,3,3,SAB
3,3,3,3,3,2,4,5,1,3,4,SHS
3,3,3,3,4,4,3,3,2,3,4,BE
3,5,3,3,5,4,3,3,3,2,3,SAS
3,4,3,4,4,3,3,5,3,3,2,SIT
2,3,3,3,3,2,2,3,3,3,3,SAB
4,1,4,3,3,3,4,3,3,3,4,BE
3,4,3,4,3,4,4,4,3,2,3,SIT
3,4,3,3,2,3,4,3,3,4,3,SED
3,3,2,3,3,3,4,3,2,4,2,SHS
3,3,3,3,3,2,3,4,4,3,3,SAB
3,3,4,3,4,3,3,3,3,3,3,SIT
3,3,3,3,4,3,3,5,3,3,3,SED
3,4,3,3,4,3,3,3,3,3,3,BE
3,2,3,3,3,3,3,3,3,3,3,SIT
3,3,3,3,4,3,4,3,3,3,3,SAB
3,3,2,4,3,2,3,3,3,2,3,SAB
1,3,2,3,3,1,2,5,3,3,4,BE
3,3,3,4,5,3,3,5,3,3,5,SED
4,3,3,3,3,3,3,4,3,4,3,SHS
3,3,3,3,3,3,3,3,3,3,4,SAS
4,3,3,3,3,3,3,1,3,3,2,SAS
3,3,5,3,2,3,4,3,3,3,3,SIT
4,3,3,3,4,3,3,4,3,3,3,SAS
3,3,3,3,4,3,5,3,3,3,5,SHS
3,4,3,3,4,5,3,3,3,3,3,SIT
3,3,2,4,3,3,3,4,3,2,3,SED
3,3,3,4,5,2,3,3,2,3,3,SIT
3,3,3,4,3,3,3,4,3,3,3,SAB
3,3,3,3,4,2,3,3,3,3,3,SAB
3,4,5,3,4,3,4,3,4,4,3,SIT
3,3,3,3,4,3,4,3,3,2,3,SAB
3,3,3,3,3,3,4,3,3,4,4,SAS
3,3,4,3,2,3,1,3,3,3,3,SAS
3,4,3,3,1,3,3,4,3,3,3,SAS
3,4,3,3,4,3,3,3,3,3,3,BE
3,2,3,3,2,3,3,3,5,3,3,BE
5,4,3,3,5,3,3,3,2,3,3,SIT
2,3,3,3,4,3,3,3,3,3,3,BE
3,3,3,3,3,4,5,3,3,4,3,SED
3,3,3,3,2,3,3,3,3,3,3,SED
5,3,3,3,4,4,3,4,3,4,3,SIT
3,3,3,3,4,3,4,3,3,2,3,SAS
4,4,4,3,3,3,4,3,2,4,3,SED
3,3,3,2,3,3,2,5,4,3,3,SAB
3,4,3,2,4,3,3,2,3,2,4,BE
3,3,4,3,3,3,1,1,3,3,3,SAS
3,3,2,3,3,3,3,3,2,3,3,SHS
3,3,3,3,3,3,4,5,3,3,3,BE
3,3,3,3,3,3,3,3,3,4,3,SHS
3,4,3,3,4,1,3,3,3,3,3,SIT
4,3,3,3,4,3,4,4,3,3,4,SIT
4,3,5,4,3,3,3,3,3,3,3,BE
4,4,3,4,3,4,5,3,3,3,2,SHS
3,3,3,3,3,3,4,3,3,3,3,SED
4,4,2,2,1,3,4,3,3,4,3,SIT
4,4,3,3,3,1,1,3,3,3,3,SHS
3,2,3,3,2,3,3,3,3,3,3,SAS
4,3,3,3,4,2,3,3,3,4,3,SAB
3,3,1,4,3,3,3,3,3,3,4,SED
3,4,3,1,3,3,3,3,3,3,3,SED
4,2,4,3,3,2,3,4,3,3,3,BE
3,4,3,4,4,4,4,3,3,4,3,SHS
3,3,2,3,5,3,3,3,3,3,3,SIT
3,3,3,3,3,3,3,3,3,3,3,SIT
5,2,4,3,4,3,2,2,3,3,4,SHS
3,4,3,3,3,3,3,3,3,1,3,SAS
3,3,3,3,3,2,3,5,3,4,3,SAS
3,3,3,3,3,3,3,4,4,3,3,BE
3,2,3,3,3,3,4,3,3,4,4,SAB
3,3,3,2,3,3,1,3,3,3,3,SAB
3,2,2,3,3,3,4,2,3,3,3,SED
3,3,3,3,4,3,5,3,3,3,4,BE
3,3,3,3,4,3,3,3,3,5,1,SHS
3,3,3,3,2,3,3,3,3,3,4,BE
3,3,3,3,3,3,2,3,3,4,3,SAB
3,2,3,3,3,3,2,3,3,4,3,BE
4,4,4,3,3,3,3,3,3,4,3,BE
3,3,3,3,3,3,3,3,3,3,3,BE
3,5,3,2,3,4,3,3,3,2,3,SAS
3,3,3,3,3,3,4,3,3,2,3,SAB
3,4,3,4,3,3,3,3,3,1,4,SHS
3,3,4,3,4,3,3,3,3,3,3,SHS
3,3,3,4,3,3,4,3,3,3,3,BE
2,4,3,3,2,3,3,3,3,3,3,SAS
2,3,3,3,3,3,3,3,1,4,3,SAB
3,5,3,3,3,3,2,3,3,3,3,SHS
5,3,3,3,3,3,3,3,3,3,3,SAB
3,3,3,3,4,3,2,3,3,3,3,BE
3,4,3,3,2,3,3,3,3,3,3,SAB
3,3,3,3,2,3,3,3,3,4,4,BE
3,3,3,2,3,3,3,3,3,3,3,BE
4,4,3,3,3,3,3,3,3,4,3,SIT
4,3,3,3,4,3,4,3,3,3,3,SED
3,4,3,4,4,3,4,3,4,3,3,SAS
3,4,3,3,3,3,3,3,4,4,3,BE
3,4,3,3,4,4,3,3,3,3,3,SAS
3,3,3,3,3,3,3,4,3,5,3,SED
2,4,3,3,5,3,3,2,3,3,4,SAB
3,4,3,2,5,1,3,3,4,2,3,SAS
3,5,3,3,3,3,4,3,3,3,3,SIT
4,3,4,3,3,3,4,3,3,4,3,SIT
4,3,3,2,3,4,3,3,3,3,5,SAB
3,4,1,3,3,1,3,4,3,4,3,SAS
3,5,3,3,3,3,5,3,3,3,3,SED
4,4,3,3,4,3,3,3,3,3,4,SAB
3,3,2,3,5,5,3,3,3,3,4,SED
3,4,3,3,3,3,3,4,3,3,2,SHS
4,3,3,3,5,4,3,3,3,4,4,SAB
4,4,1,3,3,3,4,3,3,3,3,SAB
3,2,3,3,4,2,3,3,3,4,3,SAS
3,4,3,3,3,3,3,4,3,3,4,SED
4,3,3,3,1,1,4,3,3,4,3,SAB
3,3,3,3,4,3,3,3,3,3,3,SIT
3,5,2,3,4,3,3,2,2,2,4,SED
3,3,3,3,3,3,4,3,3,3,3,SAB
4,3,3,3,4,3,3,2,5,5,5,SIT
3,3,3,3,4,4,4,4,3,3,3,SHS
2,3,4,4,3,3,3,3,3,3,4,BE
3,4,3,4,3,3,3,4,4,3,3,SAB
3,4,2,2,3,2,3,3,3,3,3,SED
3,4,4,3,4,3,3,3,3,4,3,SED
3,3,3,3,3,4,2,3,3,4,3,SHS
1,3,2,3,2,2,3,3,3,3,3,SIT
2,3,3,4,3,2,3,3,3,3,3,SIT
3,3,1,3,4,3,3,1,3,3,3,BE
3,5,4,3,3,5,3,3,3,4,3,SHS
2,1,3,5,3,3,3,4,3,4,3,SAS
3,3,3,3,4,3,3,3,3,3,4,SED
3,5,3,2,3,3,4,2,3,3,4,SHS
3,3,3,3,5,3,3,3,3,4,3,BE
3,3,3,3,3,4,3,3,3,3,3,SAB
3,3,3,3,3,3,3,3,3,3,3,SHS
3,4,3,5,4,3,3,3,3,3,3,SAS
3,3,3,3,3,3,3,3,3,2,3,SAS
4,3,3,3,3,3,3,3,3,3,3,BE
3,3,2,3,4,3,4,5,3,3,5,SAS
3,3,3,3,4,4,3,3,3,4,3,BE
3,3,4,3,3,2,2,3,3,3,3,SAB
2,3,2,2,3,3,3,2,3,4,4,BE
4,4,4,3,5,3,1,3,1,3,3,SIT
3,3,3,3,3,3,5,2,2,3,3,SAB
3,3,3,3,3,3,3,2,3,3,2,SAS
3,3,3,3,3,3,3,3,3,3,3,SIT
3,4,3,4,5,3,3,3,4,3,4,SAB
4,3,3,3,3,3,3,3,2,3,3,SIT
3,4,3,2,4,3,3,3,3,3,4,SHS
3,3,3,3,2,3,3,3,3,3,3,SAS
2,3,3,3,3,4,3,3,3,3,3,SAB
3,4,3,3,2,3,3,3,3,3,3,SAS
3,3,3,3,3,3,3,3,4,3,3,SED
3,3,3,3,4,3,4,3,2,4,4,BE
3,3,4,3,2,3,3,3,4,3,4,SAS
3,3,2,3,4,3,3,3,3,2,3,BE
3,3,2,3,3,4,3,3,3,3,2,SIT
3,3,3,3,5,3,4,3,3,3,3,SAS
3,3,4,3,3,1,4,3,4,3,3,SAB
1,3,3,2,3,3,2,4,3,3,3,SIT
3,4,3,3,3,3,3,4,4,3,2,SHS
3,3,3,4,4,3,4,3,3,3,3,SED
3,3,3,3,3,3,3,4,4,4,2,SED
3,3,3,4,4,3,3,3,3,3,3,SAB
3,4,5,3,5,4,3,3,3,3,3,SHS
3,4,4,3,3,4,3,3,3,3,4,SHS
4,4,5,3,4,4,2,3,3,3,1,SHS
5,3,3,3,4,3,3,2,3,3,3,SAB
3,3,3,3,1,3,3,3,3,1,5,SHS
5,4,5,3,4,3,3,4,3,3,4,SAS
3,3,3,3,3,2,3,3,3,3,3,SIT
3,3,3,5,4,3,4,3,3,3,3,SED
3,3,3,4,3,2,4,2,3,3,3,SHS
2,3,3,3,5,3,4,3,3,3,3,SAB
3,4,4,3,3,3,3,4,3,3,3,SHS
4,2,3,3,4,3,1,3,3,2,3,SHS
2,4,3,4,4,3,3,3,3,5,3,SAS
4,4,3,3,3,3,2,3,3,4,3,BE
3,3,3,4,3,3,3,3,3,3,3,SIT
3,3,3,3,2,3,3,3,3,3,3,SIT
3,2,3,3,4,3,5,3,3,4,3,SAS
5,3,3,4,2,4,3,3,4,3,3,SHS
3,3,4,3,4,3,3,5,4,2,4,BE
3,3,4,3,3,3,3,3,3,3,4,BE
3,3,3,2,3,3,3,4,3,4,4,SAB
3,4,3,2,4,3,3,3,4,3,3,SIT
5,3,3,3,3,3,5,3,3,3,3,SAS
3,3,3,3,3,3,3,5,3,4,3,SED
3,3,3,3,3,3,2,3,3,3,3,SAS
3,3,3,4,3,3,3,3,3,3,4,SHS
3,5,3,3,3,2,3,3,3,4,4,SIT
3,3,3,2,3,3,3,3,3,4,3,SAS
3,4,4,4,4,4,3,4,3,3,3,SAS
5,3,3,3,3,3,3,3,4,4,3,SAB
4,2,3,4,2,3,3,3,3,4,3,BE
3,3,3,3,4,4,3,5,3,3,3,BE
1,3,2,3,3,3,3,3,3,3,3,SAS
2,3,3,3,4,3,4,3,3,3,4,BE
3,3,1,3,3,3,3,3,3,3,3,SIT
3,3,1,2,2,3,3,3,3,4,3,SAS
3,3,3,3,3,3,4,3,5,3,4,SHS
3,3,3,3,4,3,4,4,3,2,2,SAS
3,4,3,3,3,3,2,3,3,3,3,SAS
3,3,3,3,4,3,2,3,5,4,3,SAB
3,5,3,3,3,4,4,3,3,2,3,SHS
5,3,3,3,4,3,3,3,3,3,3,SED
3,3,3,3,3,4,3,3,3,3,3,BE
3,3,3,3,4,3,3,3,3,3,3,SAB
3,4,3,3,5,3,4,3,3,3,4,BE
3,3,4,3,4,3,3,3,3,5,3,SIT
3,3,3,3,3,3,3,3,3,3,3,SED
3,3,3,3,2,4,4,3,3,3,3,SIT
3,3,3,2,3,3,3,3,3,3,3,SIT
3,3,2,2,3,3,3,3,5,3,4,SIT
3,4,3,4,3,3,3,3,3,3,3,SAS
3,3,3,2,5,3,3,3,5,3,3,BE
3,4,4,3,4,4,3,4,3,3,3,SAB
3,3,3,3,3,3,2,3,2,3,4,SED
3,3,3,1,3,3,4,3,3,1,3,BE
3,4,3,3,4,2,3,3,3,3,3,SHS
3,3,3,3,4,3,3,4,3,3,3,SHS
3,3,3,4,3,3,5,4,3,4,4,SHS
